source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled,org_unit_id
uos_001,시립대 조경학과,https://lauos.or.kr/notice,https://lauos.or.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,914
uos_002,시립대 국사학과,https://www.uos.ac.kr/liberalarts/korNotice/allList.do?list_id=human01&cate_id2=000010069,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,896
uos_003,시립대 건축학부(건축공학전공),https://www.uos.ac.kr/urbansciences/ae/korNotice/allList.do?list_id=urbansciences01,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,907
uos_004,시립대 경제학부,https://klcp.uos.ac.kr/social/korNotice/allList.do?list_id=econo01&cate_id2=000010057,https://klcp.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,883
uos_005,시립대 토목공학과,https://www.uos.ac.kr/engineering/korNotice/allList.do?list_id=20013DA1&cate_id2=000010382,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,894
uos_006,시립대 화학공학과,https://cheme.uos.ac.kr/bbs/board.php?bo_table=notice,https://cheme.uos.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,895
uos_007,시립대 도시공학과,https://www.uos.ac.kr/urbansciences/urban/korNotice/allList.do?list_id=urbansciences01,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,911
uos_008,시립대 인공지능학과,https://www.uos.ac.kr/engineering/korNotice/allList.do?list_id=20013DA1&cate_id2=000010085,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,891
uos_009,시립대 수학과,https://www.uos.ac.kr/science/korNotice/allList.do?list_id=scien01&cate_id2=000010064,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,903
uos_010,시립대 전자전기컴퓨터공학부,https://www.uos.ac.kr/engineering/korNotice/allList.do?list_id=20013DA1&cate_id2=000010058,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,892
uos_011,시립대 철학과,https://www.uos.ac.kr/liberalarts/korNotice/allList.do?list_id=human01&cate_id2=000010070,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,900
uos_012,시립대 물리학과,https://www.uos.ac.kr/science/korNotice/allList.do?list_id=scien01&cate_id2=000010065,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,901
uos_013,시립대 생명과학과,https://lifesci.uos.ac.kr/community/notice,https://lifesci.uos.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,902
uos_014,시립대 행정학과,https://klcp.uos.ac.kr/social/korNotice/allList.do?list_id=econo01&cate_id2=000100002,https://klcp.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,887
uos_015,시립대 통계학과,https://www.uos.ac.kr/science/korNotice/allList.do?list_id=scien01&cate_id2=000010063,https://www.uos.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,905
